-------------|-------------|----|--------|----------|--------|----------|----|----------|-----|-----|--------|----------------|----------------|--------|--------
PNG          |Name         |Ref |Lam_lab |Ion       |Lam_obs |F(lambda) |F_Er|I(lambda) |I_Em |I_Ep |Mult    |Lower Term      |Upper Term      |g1      |g2      
-------------|-------------|----|--------|----------|--------|----------|----|----------|-----|-----|--------|----------------|----------------|--------|--------
PNG278.8+04.9|PB 6         |D21 |5537.60 |[Cl III]  |5539.71 |0.942     |1.4 |0.774     |-2.7 |2.1  |F1      |2p3 4S*         |2p3 2D*         |4       |4       
PNG278.8+04.9|PB 6         |D21 |5676.02 |N II      |5678.39 |0.452     |2.7 |0.360     |-4.3 |3.5  |V3      |3s 3P*          |3p 3D           |1       |3       
PNG278.8+04.9|PB 6         |D21 |5695.92 |C III     |5703.43 |0.041     |12.1|0.033     |-15.6|13.9 |V2      |3p 1P*          |3d 1D           |3       |5       
PNG278.8+04.9|PB 6         |D21 |5754.60 |[N II]    |5755.96 |5.958     |0.3 |4.672     |-2.1 |1.7  |F3      |2p2 1D          |2p2 1S          |5       |1       
PNG278.8+04.9|PB 6         |D21 |5801.51 |C IV      |5802.60 |0.623     |2.7 |0.484     |-4.2 |3.6  |V1      |3s 2S           |3p 2P*          |2       |4       
PNG278.8+04.9|PB 6         |D21 |5812.14 |C IV      |5813.39 |0.319     |4.7 |0.247     |-6.6 |5.8  |V1      |3s 2S           |3p 2P*          |2       |2       
PNG278.8+04.9|PB 6         |D21 |5875.66 |He I      |5877.04 |9.246     |0.4 |7.070     |-2.3 |1.9  |V11     |2p 3P*          |3d 3D           |9       |15      
PNG278.8+04.9|PB 6         |D21 |5931.78 |N II      |5933.38 |0.198     |4.9 |0.150     |-6.9 |6.0  |V28     |3p 3P           |3d 3D*          |3       |5       
PNG278.8+04.9|PB 6         |D21 |5978.97 |S III     |5978.55 |0.234     |2.1 |0.175     |-3.7 |3.3  |V4      |                |                |        |        
PNG278.8+04.9|PB 6         |D21 |6036.70 |He II     |6038.22 |0.290     |1.2 |0.215     |-3.1 |2.5  |5.21    |5g+ 2G          |21h+ 2H*        |50      |*       
PNG278.8+04.9|PB 6         |D21 |6074.10 |He II     |6075.61 |0.273     |2.5 |0.201     |-4.2 |3.8  |5.20    |5g+ 2G          |20h+ 2H*        |50      |*       
PNG278.8+04.9|PB 6         |D21 |6101.83 |[K IV]    |6103.09 |0.522     |2.4 |0.381     |-4.2 |3.8  |F1      |3p4 3P          |3d4 1D          |5       |5       
PNG278.8+04.9|PB 6         |D21 |6118.20 |He II     |6119.79 |0.382     |5.2 |0.278     |-7.4 |6.7  |5.19    |5g+ 2G          |19h+ 2H*        |50      |*       
PNG278.8+04.9|PB 6         |D21 |6233.80 |He II     |6235.24 |0.593     |1.0 |0.422     |-3.1 |2.6  |5.17    |5g+ 2G          |17h+ 2H*        |50      |*       
PNG278.8+04.9|PB 6         |D21 |6300.34 |[O I]     |6301.80 |5.600     |0.9 |3.937     |-3.1 |2.6  |F1      |2p4 3P          |2p4 1D          |5       |5       
PNG278.8+04.9|PB 6         |D21 |6312.10 |[S III]   |6313.39 |4.703     |0.8 |3.299     |-3.1 |2.5  |F3      |2p2 1D          |2p2 1S          |5       |1       
PNG278.8+04.9|PB 6         |D21 |6363.78 |[O I]     |6365.26 |1.950     |1.4 |1.355     |-3.4 |3.0  |F1      |2p4 3P          |2p4 1D          |3       |5       
PNG278.8+04.9|PB 6         |D21 |6393.60 |[Mn V]    |6395.31 |0.079     |9.1 |0.055     |-12.2|11.1 |        |3d3 4F          |3d3 4P          |10      |6       
PNG278.8+04.9|PB 6         |D21 |6406.30 |He II     |6407.88 |0.987     |1.3 |0.680     |-3.4 |2.9  |5.15    |5g+ 2G          |15h+ 2H*        |50      |*       
PNG278.8+04.9|PB 6         |D21 |6461.95 |C II      |6462.94 |0.062     |5.8 |0.042     |-8.1 |7.6  |        |4f 2F*          |6g 2G           |14      |18      
PNG278.8+04.9|PB 6         |D21 |6527.11 |He II     |6528.60 |1.101     |0.8 |0.742     |-3.4 |2.8  |5.14    |5g+ 2G          |14h+ 2H*        |50      |*       
PNG278.8+04.9|PB 6         |D21 |6548.10 |[N II]    |6549.57 |109.808   |0.3 |73.770    |-3.4 |2.7  |F1      |2p2 3P          |2p2 1D          |3       |5       
PNG278.8+04.9|PB 6         |D21 |6562.77 |H 3       |6564.34 |424.997   |1.7 |284.771   |-3.8 |3.3  |H3      |2p+ 2P*         |3d+ 2D          |8       |18      
PNG278.8+04.9|PB 6         |D21 |6583.50 |[N II]    |6584.93 |341.264   |0.9 |227.825   |-3.5 |3.1  |F1      |2p2 3P          |2p2 1D          |5       |5       
PNG278.8+04.9|PB 6         |D21 |6678.16 |He I      |6679.70 |2.860     |0.8 |1.878     |-3.6 |3.1  |V46     |2p 1P*          |3d 1D           |3       |5       
PNG278.8+04.9|PB 6         |D21 |6683.20 |He II     |6684.74 |1.360     |1.5 |0.892     |-3.9 |3.5  |5.13    |5g+ 2G          |13h+ 2H*        |50      |*       
PNG278.8+04.9|PB 6         |D21 |6716.44 |[S II]    |6718.02 |9.572     |0.8 |6.244     |-3.6 |3.1  |F2      |2p3 4S*         |2p3 2D*         |4       |6       
PNG278.8+04.9|PB 6         |D21 |6730.82 |[S II]    |6732.40 |12.788    |0.7 |8.321     |-3.5 |2.9  |F2      |2p3 4S*         |2p3 2D*         |4       |4       
PNG278.8+04.9|PB 6         |D21 |6795.00 |[K IV]    |6796.50 |0.142     |3.7 |0.091     |-5.9 |5.6  |F1      |3p4 3P          |3p4 1D          |3       |5       
PNG278.8+04.9|PB 6         |D21 |6890.88 |He I      |6892.48 |1.530     |1.0 |0.969     |-3.9 |3.4  |5.12    |5g+ 2G          |12h+ 2H         |50      |*       
PNG278.8+04.9|PB 6         |D21 |7005.67 |[Ar V]    |7007.39 |6.484     |0.4 |4.032     |-3.9 |3.3  |F1      |3s2 3P          |3s2 1D          |5       |5       
PNG278.8+04.9|PB 6         |D21 |7065.25 |He I      |7066.76 |2.553     |4.2 |1.572     |-6.7 |6.6  |V10     |2p 3P*          |3s 3S           |9       |3       
PNG278.8+04.9|PB 6         |K91 |7135.80 |[Ar III]  |7135.80 |19.700    |0.0 |12.001    |-4.1 |3.4  |F1      |3p4 3P          |3p4 1D          |5       |5       
PNG017.9-04.8|M 3-30       |P01 |3726.03 |[O II]    |3726.03 |8.670     |0.0 |15.700    |-1.0 |1.0  |F1      |2p3 4S*         |2p3 2D*         |4       |4       
PNG017.9-04.8|M 3-30       |P01 |3728.82 |[O II]    |3728.82 |6.600     |0.0 |11.939    |-1.0 |1.0  |F1      |2p3 4S*         |2p3 2D*         |4       |6       
PNG017.9-04.8|M 3-30       |P01 |3868.75 |[Ne III]  |3868.75 |34.470    |0.0 |58.743    |-0.9 |0.9  |F1      |2p4 3P          |2p4 1D          |5       |5       
PNG017.9-04.8|M 3-30       |P01 |4363.21 |[O III]   |4363.21 |3.200     |0.0 |4.237     |-0.5 |0.4  |F2      |2p2 1D          |2p2 1S          |5       |1       
PNG017.9-04.8|M 3-30       |D21 |4471.50 |He I      |4471.99 |3.059     |1.8 |3.814     |-2.3 |2.3  |V14     |2p 3P*          |4d 3D           |9       |15      
PNG017.9-04.8|M 3-30       |D21 |4510.91 |N III     |4511.36 |0.149     |7.0 |0.182     |-8.4 |8.7  |V3      |3s' 4P*         |3p' 4D          |2       |4       
PNG017.9-04.8|M 3-30       |D21 |4541.59 |He II     |4542.07 |2.150     |1.2 |2.578     |-1.6 |1.5  |4.9     |4f+ 2F*         |9g+ 2G          |32      |*       
PNG017.9-04.8|M 3-30       |D21 |4601.48 |N II      |4603.27 |0.185     |9.5 |0.214     |-11.2|11.6 |V5      |3s 3P*          |3p 3P           |3       |5       
PNG017.9-04.8|M 3-30       |D21 |4607.03 |[Fe III]  |4610.14 |0.199     |12.0|0.230     |-14.2|13.9 |F3      |3d6 5D          |3d6 3F2         |9       |7       
PNG017.9-04.8|M 3-30       |D21 |4613.14 |O II      |4613.76 |0.043     |33.8|0.050     |-40.4|40.0 |V92b    |3d 2D           |4f F3*          |6       |6       
PNG017.9-04.8|M 3-30       |D21 |4613.87 |N II      |4616.45 |0.040     |42.9|0.046     |-49.7|50.3 |V5      |3s 3P*          |3p 3P           |3       |3       
PNG017.9-04.8|M 3-30       |D21 |4641.84 |N III     |4641.12 |3.197     |4.2 |3.622     |-5.0 |5.0  |V2      |3p 2P*          |3d 2D           |4       |4       
PNG017.9-04.8|M 3-30       |D21 |4650.84 |O II      |4649.67 |1.042     |7.4 |1.174     |-8.7 |8.6  |V1      |3s 4P           |3p 4D*          |2       |2       
PNG017.9-04.8|M 3-30       |D21 |4661.63 |O II      |4662.25 |0.446     |24.8|0.500     |-28.5|29.4 |V1      |3s 4P           |3p 4D*          |4       |4       
PNG017.9-04.8|M 3-30       |D21 |4676.24 |O II      |4676.82 |0.207     |18.0|0.230     |-21.3|21.3 |V1      |3s 4P           |3p 4D*          |6       |6       
PNG017.9-04.8|M 3-30       |D21 |4685.68 |He II     |4686.28 |77.280    |0.2 |85.400    |-0.3 |0.3  |3.4     |3d+ 2D          |4f+ 2F*         |18      |32      
PNG017.9-04.8|M 3-30       |D21 |4711.37 |[Ar IV]   |4711.92 |1.860     |1.8 |2.026     |-2.1 |2.1  |F1      |3p3 4S*         |3p3 2D*         |4       |6       
PNG017.9-04.8|M 3-30       |D21 |4740.17 |[Ar IV]   |4740.77 |1.479     |2.0 |1.585     |-2.5 |2.4  |F1      |3p3 4S*         |3p3 2D*         |4       |4       
PNG017.9-04.8|M 3-30       |D21 |4861.33 |H 4       |4861.96 |100.000   |0.5 |100.004   |-0.6 |0.6  |H4      |2p+ 2P*         |4d+ 2D          |8       |32      
PNG017.9-04.8|M 3-30       |D21 |4923.93 |[Fe II]   |4922.44 |0.845     |2.9 |0.815     |-3.5 |3.4  |        |4s2 4P          |4p 6P*          |6       |4       
PNG017.9-04.8|M 3-30       |D21 |4958.91 |[O III]   |4959.64 |193.313   |0.4 |182.894   |-0.5 |0.5  |F1      |2p2 3P          |2p2 1D          |3       |5       
PNG017.9-04.8|M 3-30       |D21 |5006.84 |[O III]   |5007.61 |598.266   |0.6 |550.852   |-0.7 |0.8  |F1      |2p2 3P          |2p2 1D          |5       |5       
PNG017.9-04.8|M 3-30       |D21 |5411.52 |He II     |5412.56 |8.574     |1.0 |6.297     |-1.2 |1.4  |4.7     |4f+ 2F*         |7g+ 2G          |32      |98      
PNG017.9-04.8|M 3-30       |D21 |5517.66 |[Cl III]  |5518.59 |0.850     |3.4 |0.595     |-4.1 |4.2  |F1      |2p3 4S*         |2p3 2D*         |4       |6       
PNG017.9-04.8|M 3-30       |D21 |5537.60 |[Cl III]  |5538.87 |0.617     |4.8 |0.429     |-5.6 |5.9  |F1      |2p3 4S*         |2p3 2D*         |4       |4       
PNG017.9-04.8|M 3-30       |D21 |5679.56 |N II      |5680.43 |0.412     |7.2 |0.271     |-8.7 |8.7  |V3      |3s 3P*          |3p 3D           |5       |7       
PNG017.9-04.8|M 3-30       |D21 |5754.60 |[N II]    |5755.41 |0.568     |3.3 |0.362     |-4.0 |4.2  |F3      |2p2 1D          |2p2 1S          |5       |1       
PNG017.9-04.8|M 3-30       |D21 |5812.14 |C IV      |5813.05 |0.068     |25.6|0.042     |-32.4|31.6 |V1      |3s 2S           |3p 2P*          |2       |2       
PNG017.9-04.8|M 3-30       |D21 |5875.66 |He I      |5876.43 |20.781    |0.4 |12.651    |-0.8 |1.0  |V11     |2p 3P*          |3d 3D           |9       |15      
PNG017.9-04.8|M 3-30       |D21 |5927.81 |N II      |5932.14 |0.130     |6.2 |0.078     |-7.4 |7.6  |V28     |3p 3P           |3d 3D*          |1       |3       
PNG017.9-04.8|M 3-30       |D21 |6233.80 |He II     |6234.39 |0.588     |4.3 |0.314     |-5.2 |5.3  |5.17    |5g+ 2G          |17h+ 2H*        |50      |*       
PNG017.9-04.8|M 3-30       |D21 |6312.10 |[S III]   |6312.67 |2.630     |1.5 |1.365     |-1.9 |2.2  |F3      |2p2 1D          |2p2 1S          |5       |1       
PNG017.9-04.8|M 3-30       |D21 |6406.30 |He II     |6407.29 |0.408     |5.2 |0.205     |-6.2 |6.3  |5.15    |5g+ 2G          |15h+ 2H*        |50      |*       
PNG017.9-04.8|M 3-30       |D21 |6461.95 |C II      |6462.82 |0.387     |6.6 |0.191     |-8.3 |8.1  |        |4f 2F*          |6g 2G           |14      |18      
PNG017.9-04.8|M 3-30       |D21 |6527.11 |He II     |6527.90 |0.710     |3.4 |0.343     |-4.2 |4.3  |5.14    |5g+ 2G          |14h+ 2H*        |50      |*       
PNG017.9-04.8|M 3-30       |D21 |6548.10 |[N II]    |6549.12 |21.820    |1.0 |10.456    |-1.5 |1.8  |F1      |2p2 3P          |2p2 1D          |3       |5       
PNG017.9-04.8|M 3-30       |D21 |6562.77 |H 3       |6563.60 |604.726   |0.7 |288.395   |-1.2 |1.6  |H3      |2p+ 2P*         |3d+ 2D          |8       |18      
PNG017.9-04.8|M 3-30       |D21 |6583.50 |[N II]    |6584.25 |71.033    |0.4 |33.646    |-1.1 |1.4  |F1      |2p2 3P          |2p2 1D          |5       |5       
PNG017.9-04.8|M 3-30       |D21 |6678.16 |He I      |6678.99 |7.653     |0.6 |3.515     |-1.2 |1.6  |V46     |2p 1P*          |3d 1D           |3       |5       
PNG017.9-04.8|M 3-30       |D21 |6716.44 |[S II]    |6717.31 |13.180    |0.4 |5.981     |-1.2 |1.5  |F2      |2p3 4S*         |2p3 2D*         |4       |6       
PNG017.9-04.8|M 3-30       |D21 |6730.82 |[S II]    |6731.69 |13.568    |0.4 |6.129     |-1.2 |1.5  |F2      |2p3 4S*         |2p3 2D*         |4       |4       
PNG017.9-04.8|M 3-30       |D21 |6890.88 |He I      |6891.63 |1.062     |2.4 |0.457     |-3.1 |3.4  |5.12    |5g+ 2G          |12h+ 2H         |50      |*       
PNG017.9-04.8|M 3-30       |D21 |7065.25 |He I      |7065.96 |4.525     |7.6 |1.847     |-9.2 |9.6  |V10     |2p 3P*          |3s 3S           |9       |3       
PNG017.9-04.8|M 3-30       |G07 |7135.80 |[Ar III]  |7135.80 |33.600    |0.0 |13.436    |-1.4 |1.5  |F1      |3p4 3P          |3p4 1D          |5       |5       
PNG003.1+02.9|Hb 4 (shell) |P01 |3726.03 |[O II]    |3726.03 |7.700     |0.0 |22.995    |-0.6 |0.6  |F1      |2p3 4S*         |2p3 2D*         |4       |4       
PNG003.1+02.9|Hb 4 (shell) |P01 |3728.82 |[O II]    |3728.82 |4.870     |0.0 |14.514    |-0.6 |0.6  |F1      |2p3 4S*         |2p3 2D*         |4       |6       
PNG003.1+02.9|Hb 4 (shell) |P01 |3868.75 |[Ne III]  |3868.75 |19.480    |0.0 |52.015    |-0.6 |0.5  |F1      |2p4 3P          |2p4 1D          |5       |5       
PNG003.1+02.9|Hb 4 (shell) |P01 |4363.21 |[O III]   |4363.21 |3.630     |0.0 |6.089     |-0.3 |0.3  |F2      |2p2 1D          |2p2 1S          |5       |1       
PNG003.1+02.9|Hb 4 (shell) |D21 |4442.02 |N II      |4437.05 |0.085     |23.7|0.132     |-27.4|28.3 |V55a    |3d 3P*          |4f 2[3]         |3       |5       
PNG003.1+02.9|Hb 4 (shell) |D21 |4459.94 |N II      |4459.34 |0.073     |13.5|0.111     |-15.7|16.4 |V21     |3p 3D           |3d 3P*          |3       |1       
PNG003.1+02.9|Hb 4 (shell) |D21 |4471.50 |He I      |4470.11 |3.339     |1.1 |5.014     |-1.3 |1.4  |V14     |2p 3P*          |4d 3D           |9       |15      
PNG003.1+02.9|Hb 4 (shell) |D21 |4510.91 |N III     |4509.35 |0.100     |7.5 |0.144     |-8.5 |8.8  |V3      |3s' 4P*         |3p' 4D          |2       |4       
