-------------|-------------|----|--------|----------|--------|----------|----|----------|-----|-----|--------|----------------|----------------|--------|--------
PNG          |Name         |Ref |Lam_lab |Ion       |Lam_obs |F(lambda) |F_Er|I(lambda) |I_Em |I_Ep |Mult    |Lower Term      |Upper Term      |g1      |g2      
-------------|-------------|----|--------|----------|--------|----------|----|----------|-----|-----|--------|----------------|----------------|--------|--------
PNG003.1+02.9|Hb 4 (shell) |D21 |5537.60 |[Cl III]  |5536.75 |1.656     |2.1 |0.846     |-2.3 |2.4  |F1      |2p3 4S*         |2p3 2D*         |4       |4       
PNG003.1+02.9|Hb 4 (shell) |D21 |5577.34 |[O I]     |5576.72 |0.858     |2.6 |0.426     |-2.9 |2.8  |F3      |2p4 1D          |2p4 1S          |5       |1       
PNG003.1+02.9|Hb 4 (shell) |D21 |5676.02 |N II      |5678.13 |0.080     |15.3|0.037     |-17.4|17.0 |V3      |3s 3P*          |3p 3D           |1       |3       
PNG003.1+02.9|Hb 4 (shell) |D21 |5754.60 |[N II]    |5753.10 |4.395     |0.6 |1.919     |-0.8 |0.8  |F3      |2p2 1D          |2p2 1S          |5       |1       
PNG003.1+02.9|Hb 4 (shell) |D21 |5801.51 |C IV      |5799.76 |0.196     |14.5|0.083     |-17.5|15.8 |V1      |3s 2S           |3p 2P*          |2       |4       
PNG003.1+02.9|Hb 4 (shell) |D21 |5812.14 |C IV      |5809.09 |0.071     |35.7|0.030     |-43.4|39.3 |V1      |3s 2S           |3p 2P*          |2       |2       
PNG003.1+02.9|Hb 4 (shell) |D21 |5875.66 |He I      |5874.06 |40.153    |0.3 |16.092    |-0.6 |0.6  |V11     |2p 3P*          |3d 3D           |9       |15      
PNG003.1+02.9|Hb 4 (shell) |D21 |5931.78 |N II      |5930.72 |0.028     |17.0|0.011     |-20.7|18.9 |V28     |3p 3P           |3d 3D*          |3       |5       
PNG003.1+02.9|Hb 4 (shell) |D21 |6036.70 |He II     |6035.28 |0.063     |7.8 |0.023     |-9.5 |8.4  |5.21    |5g+ 2G          |21h+ 2H*        |50      |*       
PNG003.1+02.9|Hb 4 (shell) |D21 |6101.83 |[K IV]    |6100.08 |0.404     |2.7 |0.139     |-3.4 |3.1  |F1      |3p4 3P          |3d4 1D          |5       |5       
PNG003.1+02.9|Hb 4 (shell) |D21 |6118.20 |He II     |6115.35 |0.140     |11.5|0.048     |-14.8|13.0 |5.19    |5g+ 2G          |19h+ 2H*        |50      |*       
PNG003.1+02.9|Hb 4 (shell) |D21 |6151.43 |C II      |6149.16 |0.065     |9.8 |0.022     |-12.4|11.6 |V16.04  |4d 2D           |6f 2F*          |10      |14      
PNG003.1+02.9|Hb 4 (shell) |D21 |6300.34 |[O I]     |6298.66 |16.971    |0.4 |5.111     |-0.7 |0.8  |F1      |2p4 3P          |2p4 1D          |5       |5       
PNG003.1+02.9|Hb 4 (shell) |D21 |6312.10 |[S III]   |6310.35 |8.242     |0.3 |2.463     |-0.6 |0.7  |F3      |2p2 1D          |2p2 1S          |5       |1       
PNG003.1+02.9|Hb 4 (shell) |D21 |6347.10 |Si II     |6345.27 |0.221     |29.1|0.065     |-36.3|34.5 |V2      |4s 2S           |4p 2P*          |2       |4       
PNG003.1+02.9|Hb 4 (shell) |D21 |6363.78 |[O I]     |6362.11 |5.974     |0.7 |1.728     |-1.0 |1.1  |F1      |2p4 3P          |2p4 1D          |3       |5       
PNG003.1+02.9|Hb 4 (shell) |D21 |6371.38 |S III     |6369.70 |0.540     |3.1 |0.155     |-3.8 |3.8  |V2      |4s 2S           |4p 2P*          |2       |2       
PNG003.1+02.9|Hb 4 (shell) |D21 |6393.60 |[Mn V]    |6391.93 |0.191     |5.3 |0.054     |-6.8 |6.6  |        |3d3 4F          |3d3 4P          |10      |6       
PNG003.1+02.9|Hb 4 (shell) |D21 |6406.30 |He II     |6404.40 |0.294     |4.7 |0.083     |-6.0 |5.7  |5.15    |5g+ 2G          |15h+ 2H*        |50      |*       
PNG003.1+02.9|Hb 4 (shell) |D21 |6461.95 |C II      |6460.34 |0.157     |7.8 |0.043     |-9.8 |9.3  |        |4f 2F*          |6g 2G           |14      |18      
PNG003.1+02.9|Hb 4 (shell) |D21 |6527.11 |He II     |6525.37 |0.296     |4.7 |0.077     |-6.1 |5.7  |5.14    |5g+ 2G          |14h+ 2H*        |50      |*       
PNG003.1+02.9|Hb 4 (shell) |D21 |6548.10 |[N II]    |6546.33 |132.274   |0.2 |34.110    |-0.8 |0.7  |F1      |2p2 3P          |2p2 1D          |3       |5       
PNG003.1+02.9|Hb 4 (shell) |D21 |6562.77 |H 3       |6560.97 |1120.869  |0.4 |286.479   |-0.9 |0.9  |H3      |2p+ 2P*         |3d+ 2D          |8       |18      
PNG003.1+02.9|Hb 4 (shell) |D21 |6583.50 |[N II]    |6581.70 |419.944   |0.3 |105.994   |-0.8 |0.8  |F1      |2p2 3P          |2p2 1D          |5       |5       
PNG003.1+02.9|Hb 4 (shell) |D21 |6678.16 |He I      |6676.42 |14.921    |0.5 |3.559     |-1.0 |1.0  |V46     |2p 1P*          |3d 1D           |3       |5       
PNG003.1+02.9|Hb 4 (shell) |D21 |6716.44 |[S II]    |6714.69 |26.000    |0.2 |6.064     |-0.8 |0.8  |F2      |2p3 4S*         |2p3 2D*         |4       |6       
PNG003.1+02.9|Hb 4 (shell) |D21 |6730.82 |[S II]    |6729.07 |45.983    |0.2 |10.635    |-0.8 |0.8  |F2      |2p3 4S*         |2p3 2D*         |4       |4       
PNG003.1+02.9|Hb 4 (shell) |D21 |6795.00 |[K IV]    |6793.31 |0.122     |9.8 |0.027     |-12.4|11.7 |F1      |3p4 3P          |3p4 1D          |3       |5       
PNG003.1+02.9|Hb 4 (shell) |D21 |6890.88 |He I      |6889.00 |0.355     |2.1 |0.075     |-2.9 |2.7  |5.12    |5g+ 2G          |12h+ 2H         |50      |*       
PNG003.1+02.9|Hb 4 (shell) |D21 |7005.67 |[Ar V]    |7003.82 |0.210     |7.7 |0.042     |-9.9 |9.1  |F1      |3s2 3P          |3s2 1D          |5       |5       
PNG003.1+02.9|Hb 4 (shell) |D21 |7065.25 |He I      |7063.41 |33.585    |1.2 |6.443     |-1.7 |1.7  |V10     |2p 3P*          |3s 3S           |9       |3       
PNG003.1+02.9|Hb 4 (shell) |G07 |7135.80 |[Ar III]  |7135.80 |118.000   |0.0 |21.802    |-0.9 |0.9  |F1      |3p4 3P          |3p4 1D          |5       |5       
PNG003.1+02.9|Hb 4 (N-knot)|H97 |3726.03 |[O II]    |3726.03 |58.040    |0.0 |199.476   |-2.6 |2.3  |F1      |2p3 4S*         |2p3 2D*         |4       |4       
PNG003.1+02.9|Hb 4 (N-knot)|H97 |3728.82 |[O II]    |3728.82 |*         |    |*         |     |     |F1      |2p3 4S*         |2p3 2D*         |4       |6       
PNG003.1+02.9|Hb 4 (N-knot)|H97 |3868.75 |[Ne III]  |3868.75 |45.170    |0.0 |136.829   |-2.4 |2.1  |F1      |2p4 3P          |2p4 1D          |5       |5       
PNG003.1+02.9|Hb 4 (N-knot)|D21 |4861.33 |H 4       |4860.94 |100.000   |1.7 |100.008   |-1.9 |2.2  |H4      |2p+ 2P*         |4d+ 2D          |8       |32      
PNG003.1+02.9|Hb 4 (N-knot)|D21 |4958.91 |[O III]   |4958.27 |363.612   |1.2 |324.053   |-1.3 |1.6  |F1      |2p2 3P          |2p2 1D          |3       |5       
PNG003.1+02.9|Hb 4 (N-knot)|D21 |5006.84 |[O III]   |5006.19 |1222.438  |0.9 |1029.611  |-1.1 |1.3  |F1      |2p2 3P          |2p2 1D          |5       |5       
PNG003.1+02.9|Hb 4 (N-knot)|D21 |5754.60 |[N II]    |5754.48 |8.794     |10.4|3.452     |-11.9|13.3 |F3      |2p2 1D          |2p2 1S          |5       |1       
PNG003.1+02.9|Hb 4 (N-knot)|D21 |5875.66 |He I      |5875.55 |34.191    |2.4 |12.184    |-3.2 |4.1  |V11     |2p 3P*          |3d 3D           |9       |15      
PNG003.1+02.9|Hb 4 (N-knot)|D21 |6300.34 |[O I]     |6299.82 |29.111    |6.7 |7.515     |-7.6 |9.3  |F1      |2p4 3P          |2p4 1D          |5       |5       
PNG003.1+02.9|Hb 4 (N-knot)|D21 |6363.78 |[O I]     |6363.35 |5.856     |9.1 |1.444     |-10.2|12.2 |F1      |2p4 3P          |2p4 1D          |3       |5       
PNG003.1+02.9|Hb 4 (N-knot)|D21 |6548.10 |[N II]    |6548.13 |340.142   |1.0 |73.700    |-2.9 |3.7  |F1      |2p2 3P          |2p2 1D          |3       |5       
PNG003.1+02.9|Hb 4 (N-knot)|D21 |6562.77 |H 3       |6562.52 |1333.281  |0.6 |285.998   |-2.8 |3.5  |H3      |2p+ 2P*         |3d+ 2D          |8       |18      
PNG003.1+02.9|Hb 4 (N-knot)|D21 |6583.50 |[N II]    |6583.52 |1127.143  |1.0 |238.382   |-2.9 |3.8  |F1      |2p2 3P          |2p2 1D          |5       |5       
PNG003.1+02.9|Hb 4 (N-knot)|D21 |6678.16 |He I      |6677.95 |14.728    |13.7|2.922     |-16.1|18.3 |V46     |2p 1P*          |3d 1D           |3       |5       
PNG003.1+02.9|Hb 4 (N-knot)|D21 |6716.44 |[S II]    |6716.49 |97.428    |3.0 |18.848    |-4.5 |5.8  |F2      |2p3 4S*         |2p3 2D*         |4       |6       
PNG003.1+02.9|Hb 4 (N-knot)|D21 |6730.82 |[S II]    |6730.91 |117.556   |2.4 |22.528    |-4.1 |5.2  |F2      |2p3 4S*         |2p3 2D*         |4       |4       
PNG003.1+02.9|Hb 4 (N-knot)|D21 |7065.25 |He I      |7064.77 |89.439    |5.6 |13.878    |-7.3 |9.0  |V10     |2p 3P*          |3s 3S           |9       |3       
PNG003.1+02.9|Hb 4 (N-knot)|H97 |7135.80 |[Ar III]  |7135.80 |125.610   |0.0 |18.683    |-3.5 |4.3  |F1      |3p4 3P          |3p4 1D          |5       |5       
PNG003.1+02.9|Hb 4 (N-knot)|H97 |7319.99 |[O II]    |7319.99 |58.150    |0.0 |7.772     |-3.7 |4.6  |F2      |2p3 2D*         |2p3 2P*         |6       |4       
PNG003.1+02.9|Hb 4 (N-knot)|H97 |7330.73 |[O II]    |7330.73 |*         |    |*         |     |     |F2      |2p3 2D*         |2p3 2P*         |4       |4       
PNG003.1+02.9|Hb 4 (S-knot)|H97 |3726.03 |[O II]    |3726.03 |74.860    |0.0 |231.195   |-4.3 |3.3  |F1      |2p3 4S*         |2p3 2D*         |4       |4       
PNG003.1+02.9|Hb 4 (S-knot)|H97 |3728.82 |[O II]    |3728.82 |*         |    |*         |     |     |F1      |2p3 4S*         |2p3 2D*         |4       |6       
PNG003.1+02.9|Hb 4 (S-knot)|H97 |3868.75 |[Ne III]  |3868.75 |31.230    |0.0 |85.944    |-3.9 |2.9  |F1      |2p4 3P          |2p4 1D          |5       |5       
PNG003.1+02.9|Hb 4 (S-knot)|D21 |4861.33 |H 4       |4859.38 |100.000   |2.7 |100.007   |-3.4 |3.5  |H4      |2p+ 2P*         |4d+ 2D          |8       |32      
PNG003.1+02.9|Hb 4 (S-knot)|D21 |4958.91 |[O III]   |4957.27 |270.460   |0.9 |243.452   |-1.1 |1.3  |F1      |2p2 3P          |2p2 1D          |3       |5       
PNG003.1+02.9|Hb 4 (S-knot)|D21 |5006.84 |[O III]   |5005.28 |935.680   |0.8 |799.890   |-1.0 |1.3  |F1      |2p2 3P          |2p2 1D          |5       |5       
PNG003.1+02.9|Hb 4 (S-knot)|D21 |5875.66 |He I      |5872.74 |25.520    |3.7 |9.944     |-4.8 |7.0  |V11     |2p 3P*          |3d 3D           |9       |15      
PNG003.1+02.9|Hb 4 (S-knot)|D21 |6300.34 |[O I]     |6296.81 |44.710    |3.8 |12.977    |-5.6 |8.0  |F1      |2p4 3P          |2p4 1D          |5       |5       
PNG003.1+02.9|Hb 4 (S-knot)|D21 |6363.78 |[O I]     |6360.21 |16.780    |17.3|4.671     |-21.7|25.0 |F1      |2p4 3P          |2p4 1D          |3       |5       
PNG003.1+02.9|Hb 4 (S-knot)|D21 |6548.10 |[N II]    |6544.68 |274.170   |1.5 |67.819    |-4.0 |6.5  |F1      |2p2 3P          |2p2 1D          |3       |5       
PNG003.1+02.9|Hb 4 (S-knot)|D21 |6562.77 |H 3       |6559.63 |1167.540  |1.4 |286.164   |-3.9 |6.3  |H3      |2p+ 2P*         |3d+ 2D          |8       |18      
PNG003.1+02.9|Hb 4 (S-knot)|D21 |6583.50 |[N II]    |6580.01 |962.340   |0.7 |232.840   |-3.9 |5.9  |F1      |2p2 3P          |2p2 1D          |5       |5       
PNG003.1+02.9|Hb 4 (S-knot)|D21 |6716.44 |[S II]    |6712.99 |83.800    |2.2 |18.690    |-4.8 |7.3  |F2      |2p3 4S*         |2p3 2D*         |4       |6       
PNG003.1+02.9|Hb 4 (S-knot)|D21 |6730.82 |[S II]    |6727.38 |91.440    |1.8 |20.219    |-4.5 |6.9  |F2      |2p3 4S*         |2p3 2D*         |4       |4       
PNG003.1+02.9|Hb 4 (S-knot)|H97 |7135.80 |[Ar III]  |7135.80 |106.950   |0.0 |18.762    |-4.5 |7.0  |F1      |3p4 3P          |3p4 1D          |5       |5       
PNG003.1+02.9|Hb 4 (S-knot)|H97 |7319.99 |[O II]    |7319.99 |43.200    |0.0 |6.873     |-4.6 |7.3  |F2      |2p3 2D*         |2p3 2P*         |6       |4       
PNG003.1+02.9|Hb 4 (S-knot)|H97 |7330.73 |[O II]    |7330.73 |*         |    |*         |     |     |F2      |2p3 2D*         |2p3 2P*         |4       |4       
PNG358.3-21.6|IC 1297      |M02 |3726.03 |[O II]    |3726.03 |49.100    |0.0 |55.949    |-1.0 |1.1  |F1      |2p3 4S*         |2p3 2D*         |4       |4       
PNG358.3-21.6|IC 1297      |M02 |3728.82 |[O II]    |3728.82 |*         |    |*         |     |     |F1      |2p3 4S*         |2p3 2D*         |4       |6       
PNG358.3-21.6|IC 1297      |M02 |3868.75 |[Ne III]  |3868.75 |109.000   |0.0 |122.557   |-0.9 |1.0  |F1      |2p4 3P          |2p4 1D          |5       |5       
PNG358.3-21.6|IC 1297      |M02 |3889.05 |H 8       |3889.05 |19.200    |0.0 |21.544    |-0.9 |1.0  |H8      |2p+ 2P*         |8d+ 2D          |8       |*       
PNG358.3-21.6|IC 1297      |M02 |3967.46 |[Ne III]  |3967.46 |50.700    |0.0 |56.431    |-0.8 |0.9  |F1      |2p4 3P          |2p4 1D          |3       |5       
PNG358.3-21.6|IC 1297      |M02 |4026.21 |He I      |4026.21 |2.100     |0.0 |2.323     |-0.8 |0.8  |V18     |2p 3P*          |5d 3D           |9       |15      
PNG358.3-21.6|IC 1297      |M02 |4101.74 |H 6       |4101.74 |26.000    |0.0 |28.517    |-0.7 |0.8  |H6      |2p+ 2P*         |6d+ 2D          |8       |72      
PNG358.3-21.6|IC 1297      |M02 |4340.47 |H 5       |4340.47 |45.700    |0.0 |48.744    |-0.5 |0.5  |H5      |2p+ 2P*         |5d+ 2D          |8       |50      
PNG358.3-21.6|IC 1297      |M02 |4363.21 |[O III]   |4363.21 |9.300     |0.0 |9.892     |-0.5 |0.5  |F2      |2p2 1D          |2p2 1S          |5       |1       
PNG358.3-21.6|IC 1297      |D21 |4448.19 |O II      |4448.51 |0.103     |14.1|0.108     |-18.3|20.7 |V35     |3p' 2F*         |3d' 2F          |8       |8       
PNG358.3-21.6|IC 1297      |D21 |4471.50 |He I      |4471.16 |4.253     |1.3 |4.465     |-1.7 |1.9  |V14     |2p 3P*          |4d 3D           |9       |15      
PNG358.3-21.6|IC 1297      |D21 |4510.91 |N III     |4510.26 |0.116     |12.2|0.121     |-16.5|17.7 |V3      |3s' 4P*         |3p' 4D          |2       |4       
PNG358.3-21.6|IC 1297      |D21 |4541.59 |He II     |4541.15 |1.060     |1.6 |1.103     |-2.1 |2.4  |4.9     |4f+ 2F*         |9g+ 2G          |32      |*       
PNG358.3-21.6|IC 1297      |D21 |4552.53 |N II      |4552.38 |0.018     |41.7|0.019     |-55.4|60.6 |V58a    |3d 1F*          |4f 2[4]         |7       |9       
PNG358.3-21.6|IC 1297      |D21 |4571.10 |Mg I]     |4570.81 |0.149     |8.1 |0.154     |-10.8|12.1 |        |3s2 1S          |3s3p 3P*        |1       |3       
PNG358.3-21.6|IC 1297      |D21 |4607.16 |N II      |4607.14 |0.012     |34.5|0.012     |-47.0|51.1 |V5      |3s 3P*          |3p 3P           |1       |3       
PNG358.3-21.6|IC 1297      |D21 |4610.20 |O II      |4604.61 |0.066     |9.2 |0.068     |-12.4|13.5 |V92c    |3d 2D           |4f F2*          |4       |6       
PNG358.3-21.6|IC 1297      |D21 |4634.14 |N III     |4633.53 |0.777     |3.7 |0.799     |-5.0 |5.6  |V2      |3p 2P*          |3d 2D           |2       |4       
PNG358.3-21.6|IC 1297      |D21 |4640.64 |N III     |4640.22 |2.000     |1.7 |2.056     |-2.3 |2.5  |V2      |3p 2P*          |3d 2D           |4       |6       
PNG358.3-21.6|IC 1297      |D21 |4647.42 |C III     |4648.61 |0.146     |39.2|0.150     |-52.2|57.4 |V1      |3s 3S           |3p 3P*          |3       |5       
PNG358.3-21.6|IC 1297      |D21 |4658.64 |C IV      |4657.62 |0.227     |11.6|0.233     |-15.5|17.1 |V8      |5f 2F*          |6g 2G           |14      |18      
PNG358.3-21.6|IC 1297      |D21 |4661.63 |O II      |4661.21 |0.107     |12.9|0.110     |-17.3|18.5 |V1      |3s 4P           |3p 4D*          |4       |4       
PNG358.3-21.6|IC 1297      |D21 |4676.24 |O II      |4676.12 |0.047     |19.2|0.048     |-25.4|27.5 |V1      |3s 4P           |3p 4D*          |6       |6       
PNG358.3-21.6|IC 1297      |D21 |4678.14 |N II      |4676.13 |0.059     |13.4|0.060     |-17.7|18.8 |V61b    |3d 1P*          |4f 2[2]         |3       |5       
PNG358.3-21.6|IC 1297      |D21 |4685.68 |He II     |4685.40 |37.038    |0.2 |37.861    |-0.3 |0.3  |3.4     |3d+ 2D          |4f+ 2F*         |18      |32      
PNG358.3-21.6|IC 1297      |D21 |4711.37 |[Ar IV]   |4711.03 |2.003     |2.0 |2.041     |-2.6 |2.9  |F1      |3p3 4S*         |3p3 2D*         |4       |6       
PNG358.3-21.6|IC 1297      |D21 |4740.17 |[Ar IV]   |4739.93 |1.836     |1.2 |1.864     |-1.6 |1.7  |F1      |3p3 4S*         |3p3 2D*         |4       |4       
PNG358.3-21.6|IC 1297      |D21 |4769.40 |[Fe III]  |4766.78 |0.037     |17.4|0.037     |-23.2|24.7 |F3      |                |                |        |        
PNG358.3-21.6|IC 1297      |D21 |4788.13 |N II      |4783.65 |0.022     |22.3|0.022     |-29.4|31.9 |V20     |3p 3D           |3d 3D*          |5       |5       
PNG358.3-21.6|IC 1297      |D21 |4803.29 |N II      |4802.19 |0.016     |21.8|0.016     |-28.6|31.5 |V20     |3p 3D           |3d 3D*          |7       |7       
PNG358.3-21.6|IC 1297      |D21 |4814.53 |[Fe II]   |4816.17 |0.032     |31.4|0.032     |-41.9|46.1 |F20     |                |                |        |        
PNG358.3-21.6|IC 1297      |D21 |4861.33 |H 4       |4861.19 |100.000   |0.5 |100.001   |-0.7 |0.7  |H4      |2p+ 2P*         |4d+ 2D          |8       |32      
PNG358.3-21.6|IC 1297      |D21 |4881.11 |[Fe III]  |4881.50 |0.058     |13.6|0.058     |-17.7|19.4 |F2      |3d6 5D          |3d6 3H          |9       |9       
PNG358.3-21.6|IC 1297      |D21 |4958.91 |[O III]   |4958.92 |462.910   |0.4 |457.304   |-0.5 |0.6  |F1      |2p2 3P          |2p2 1D          |3       |5       
PNG358.3-21.6|IC 1297      |D21 |5006.84 |[O III]   |5006.88 |1342.273  |0.2 |1318.120  |-0.3 |0.3  |F1      |2p2 3P          |2p2 1D          |5       |5       
PNG358.3-21.6|IC 1297      |D21 |5199.84 |[N I]     |5198.58 |0.151     |15.0|0.145     |-19.5|21.0 |F1      |2p3 4S*         |2p3 2D*         |4       |4       
PNG358.3-21.6|IC 1297      |D21 |5270.40 |[Fe III]  |5270.81 |0.039     |17.1|0.037     |-21.5|23.8 |F1      |3d6 5D          |3d6 3P2         |7       |5       
PNG358.3-21.6|IC 1297      |D21 |5411.52 |He II     |5411.88 |3.098     |0.8 |2.895     |-1.3 |1.2  |4.7     |4f+ 2F*         |7g+ 2G          |32      |98      
PNG358.3-21.6|IC 1297      |D21 |5517.66 |[Cl III]  |5517.88 |0.659     |2.2 |0.609     |-2.9 |3.1  |F1      |2p3 4S*         |2p3 2D*         |4       |6       
PNG358.3-21.6|IC 1297      |D21 |5537.60 |[Cl III]  |5537.97 |0.702     |2.8 |0.648     |-3.8 |3.8  |F1      |2p3 4S*         |2p3 2D*         |4       |4       
PNG358.3-21.6|IC 1297      |D21 |5666.63 |N II      |5665.47 |0.036     |23.7|0.033     |-29.4|33.2 |V3      |3s 3P*          |3p 3D           |3       |5       
PNG358.3-21.6|IC 1297      |D21 |5679.56 |N II      |5679.33 |0.021     |45.9|0.019     |-55.4|63.6 |V3      |3s 3P*          |3p 3D           |5       |7       
PNG358.3-21.6|IC 1297      |D21 |5686.21 |N II      |5688.71 |0.021     |25.7|0.019     |-31.0|35.5 |V3      |3s 3P*          |3p 3D           |3       |3       
PNG358.3-21.6|IC 1297      |D21 |5695.92 |C III     |5693.00 |0.013     |36.7|0.012     |-42.7|51.0 |V2      |3p 1P*          |3d 1D           |3       |5       
PNG358.3-21.6|IC 1297      |D21 |5754.60 |[N II]    |5754.22 |0.692     |2.1 |0.627     |-2.7 |2.9  |F3      |2p2 1D          |2p2 1S          |5       |1       
PNG358.3-21.6|IC 1297      |D21 |5801.51 |C IV      |5801.02 |0.094     |13.5|0.085     |-14.9|18.1 |V1      |3s 2S           |3p 2P*          |2       |4       
PNG358.3-21.6|IC 1297      |D21 |5875.66 |He I      |5875.25 |14.660    |0.3 |13.144    |-1.1 |0.9  |V11     |2p 3P*          |3d 3D           |9       |15      
PNG358.3-21.6|IC 1297      |D21 |5931.78 |N II      |5931.76 |0.025     |29.5|0.022     |-34.2|40.0 |V28     |3p 3P           |3d 3D*          |3       |5       
PNG358.3-21.6|IC 1297      |D21 |6036.70 |He II     |6036.31 |0.077     |7.3 |0.068     |-8.6 |9.4  |5.21    |5g+ 2G          |21h+ 2H*        |50      |*       
PNG358.3-21.6|IC 1297      |D21 |6074.10 |He II     |6073.71 |0.047     |13.4|0.041     |-15.5|17.4 |5.20    |5g+ 2G          |20h+ 2H*        |50      |*       
PNG358.3-21.6|IC 1297      |D21 |6101.83 |[K IV]    |6101.40 |0.104     |7.4 |0.092     |-8.8 |9.8  |F1      |3p4 3P          |3d4 1D          |5       |5       
PNG358.3-21.6|IC 1297      |D21 |6118.20 |He II     |6117.88 |0.074     |10.2|0.065     |-11.7|13.1 |5.19    |5g+ 2G          |19h+ 2H*        |50      |*       
PNG358.3-21.6|IC 1297      |D21 |6151.43 |C II      |6150.61 |0.041     |18.7|0.036     |-21.6|24.8 |V16.04  |4d 2D           |6f 2F*          |10      |14      
PNG358.3-21.6|IC 1297      |D21 |6233.80 |He II     |6233.44 |0.136     |3.9 |0.118     |-4.7 |5.1  |5.17    |5g+ 2G          |17h+ 2H*        |50      |*       
PNG358.3-21.6|IC 1297      |D21 |6300.34 |[O I]     |6300.00 |1.859     |1.0 |1.611     |-1.9 |1.5  |F1      |2p4 3P          |2p4 1D          |5       |5       
PNG358.3-21.6|IC 1297      |D21 |6312.10 |[S III]   |6311.54 |2.670     |1.0 |2.312     |-1.9 |1.6  |F3      |2p2 1D          |2p2 1S          |5       |1       
PNG358.3-21.6|IC 1297      |D21 |6363.78 |[O I]     |6363.46 |0.607     |1.9 |0.523     |-2.8 |2.5  |F1      |2p4 3P          |2p4 1D          |3       |5       
PNG358.3-21.6|IC 1297      |D21 |6371.38 |S III     |6371.05 |0.091     |9.6 |0.078     |-11.3|12.2 |V2      |4s 2S           |4p 2P*          |2       |2       
PNG358.3-21.6|IC 1297      |D21 |6406.30 |He II     |6405.60 |0.283     |4.8 |0.243     |-5.8 |5.8  |5.15    |5g+ 2G          |15h+ 2H*        |50      |*       
PNG358.3-21.6|IC 1297      |D21 |6461.95 |C II      |6461.72 |0.095     |19.2|0.081     |-22.8|24.1 |        |4f 2F*          |6g 2G           |14      |18      
PNG358.3-21.6|IC 1297      |D21 |6527.11 |He II     |6526.53 |0.270     |5.5 |0.230     |-6.6 |6.7  |5.14    |5g+ 2G          |14h+ 2H*        |50      |*       
PNG358.3-21.6|IC 1297      |D21 |6548.10 |[N II]    |6547.64 |17.283    |0.6 |14.702    |-1.7 |1.2  |F1      |2p2 3P          |2p2 1D          |3       |5       
PNG358.3-21.6|IC 1297      |D21 |6562.77 |H 3       |6562.30 |338.174   |0.6 |287.358   |-1.7 |1.2  |H3      |2p+ 2P*         |3d+ 2D          |8       |18      
PNG358.3-21.6|IC 1297      |D21 |6583.50 |[N II]    |6583.02 |53.908    |0.9 |45.739    |-2.0 |1.4  |F1      |2p2 3P          |2p2 1D          |5       |5       
PNG358.3-21.6|IC 1297      |D21 |6678.16 |He I      |6677.65 |2.891     |1.8 |2.436     |-2.8 |2.2  |V46     |2p 1P*          |3d 1D           |3       |5       
PNG358.3-21.6|IC 1297      |D21 |6716.44 |[S II]    |6716.02 |5.679     |0.6 |4.773     |-1.8 |1.2  |F2      |2p3 4S*         |2p3 2D*         |4       |6       
PNG358.3-21.6|IC 1297      |D21 |6730.82 |[S II]    |6730.40 |8.392     |0.7 |7.046     |-1.9 |1.2  |F2      |2p3 4S*         |2p3 2D*         |4       |4       
PNG358.3-21.6|IC 1297      |D21 |6890.88 |He I      |6890.58 |0.289     |4.0 |0.240     |-5.3 |4.5  |5.12    |5g+ 2G          |12h+ 2H         |50      |*       
PNG358.3-21.6|IC 1297      |D21 |7065.25 |He I      |7064.92 |3.095     |2.0 |2.541     |-3.2 |2.1  |V10     |2p 3P*          |3s 3S           |9       |3       
PNG358.3-21.6|IC 1297      |M02 |7135.80 |[Ar III]  |7135.80 |18.000    |0.0 |14.714    |-1.8 |1.5  |F1      |3p4 3P          |3p4 1D          |5       |5       
PNG358.3-21.6|IC 1297      |M02 |7281.35 |He I      |7281.35 |0.600     |0.0 |0.486     |-1.9 |1.6  |V45     |2p 1P*          |3s 1S           |3       |1       
PNG358.3-21.6|IC 1297      |M02 |7751.43 |[Ar III]  |7751.43 |3.800     |0.0 |2.997     |-2.1 |1.8  |F1      |3p4 3P          |3p4 1D          |3       |5       
PNG306.4-00.6|Th 2-A       |M02 |3728.82 |[O II]    |3728.82 |72.900    |0.0 |137.788   |-1.5 |1.6  |F1      |2p3 4S*         |2p3 2D*         |4       |6       
PNG306.4-00.6|Th 2-A       |M02 |3868.75 |[Ne III]  |3868.75 |111.000   |0.0 |196.786   |-1.3 |1.4  |F1      |2p4 3P          |2p4 1D          |5       |5       
PNG306.4-00.6|Th 2-A       |M02 |3889.05 |H 8       |3889.05 |7.200     |0.0 |12.638    |-1.3 |1.3  |H8      |2p+ 2P*         |8d+ 2D          |8       |*       
PNG306.4-00.6|Th 2-A       |M02 |3967.46 |[Ne III]  |3967.46 |48.000    |0.0 |80.986    |-1.2 |1.3  |F1      |2p4 3P          |2p4 1D          |3       |5       
PNG306.4-00.6|Th 2-A       |M02 |4101.74 |H 6       |4101.74 |26.600    |0.0 |41.772    |-1.0 |1.1  |H6      |2p+ 2P*         |6d+ 2D          |8       |72      
PNG306.4-00.6|Th 2-A       |M02 |4340.47 |H 5       |4340.47 |37.800    |0.0 |51.794    |-0.7 |0.8  |H5      |2p+ 2P*         |5d+ 2D          |8       |50      
