-------------|-------------|------------|----------|--------|----|------------|------------|------------
PNG          |Name         |Ion         |Line      |Lam_lab |Wght|Abund       |Abund_Em    |Abund_Ep    
-------------|-------------|------------|----------|--------|----|------------|------------|------------
PNG358.3-21.6|IC 1297      |C^3+        |C III     |4647.42 |1   |2.65854e-04 |-1.17622e-04|1.14901e-04 
PNG358.3-21.6|IC 1297      |N^2+        |N II      |4552.53 |1   |6.29126e-04 |-2.45680e-04|3.07369e-04 
PNG358.3-21.6|IC 1297      |N^2+        |N II      |4607.16 |2   |2.50878e-04 |-9.32399e-05|9.91320e-05 
PNG358.3-21.6|IC 1297      |N^2+        |N II      |4788.13 |2   |4.74653e-04 |-1.02784e-04|1.11490e-04 
PNG358.3-21.6|IC 1297      |N^2+        |N II      |4803.29 |3   |1.79496e-04 |-3.30515e-05|4.73651e-05 
PNG358.3-21.6|IC 1297      |N^2+        |N II      |5666.63 |6   |1.94368e-04 |-4.22168e-05|5.16322e-05 
PNG358.3-21.6|IC 1297      |N^2+        |N II      |5679.56 |11  |5.88299e-05 |-2.81685e-05|2.98215e-05 
PNG358.3-21.6|IC 1297      |N^2+        |N II      |5686.21 |2   |3.75234e-04 |-9.57608e-05|9.49746e-05 
PNG358.3-21.6|IC 1297      |N^2+        |N II      |5931.78 |2   |3.48671e-04 |-1.00355e-04|1.08709e-04 
PNG358.3-21.6|IC 1297      |N^3+        |N III     |4640.64 |1   |5.29052e-04 |-9.21477e-06|1.03566e-05 
PNG358.3-21.6|IC 1297      |O^2+        |O II      |4610.20 |1   |5.12323e-03 |-4.12955e-04|5.35043e-04 
PNG358.3-21.6|IC 1297      |O^2+        |O II      |4661.63 |12  |7.05457e-04 |-9.24055e-05|9.57636e-05 
PNG358.3-21.6|IC 1297      |O^2+        |O II      |4676.23 |7   |4.98362e-04 |-1.14243e-04|1.12164e-04 
PNG306.4-00.6|Th 2-A       |He^+        |He I      |4471.50 |1   |5.51644e-02 |-1.46805e-03|1.08294e-03 
PNG306.4-00.6|Th 2-A       |He^+        |He I      |5875.66 |4   |7.85516e-02 |-1.19384e-03|1.04525e-03 
PNG306.4-00.6|Th 2-A       |He^+        |He I      |6678.16 |1   |4.77583e-02 |-1.27116e-03|1.43740e-03 
PNG306.4-00.6|Th 2-A       |He^2+       |He II     |4685.68 |1   |4.22657e-02 |-2.26354e-04|2.47481e-04 
PNG306.4-00.6|Th 2-A       |C^2+        |C II      |6151.43 |1   |1.01218e-02 |-1.00102e-03|8.28131e-04 
PNG306.4-00.6|Th 2-A       |C^2+        |C II      |6461.95 |3   |2.22093e-03 |-2.69341e-04|2.61771e-04 
PNG306.4-00.6|Th 2-A       |N^2+        |N II      |4432.73 |1   |9.95665e-03 |-9.13817e-04|9.67153e-04 
PNG306.4-00.6|Th 2-A       |N^2+        |N II      |4788.13 |1   |1.77723e-03 |-4.81103e-04|3.98677e-04 
PNG306.4-00.6|Th 2-A       |N^2+        |N II      |4803.29 |2   |2.14023e-03 |-4.01847e-04|4.29641e-04 
PNG306.4-00.6|Th 2-A       |N^2+        |N II      |5676.02 |2   |1.62882e-03 |-4.19685e-04|4.29316e-04 
PNG306.4-00.6|Th 2-A       |N^2+        |N II      |5679.56 |6   |7.93859e-04 |-8.08511e-05|6.41665e-05 
PNG306.4-00.6|Th 2-A       |N^2+        |N II      |5710.77 |1   |4.46293e-03 |-6.28288e-04|5.88921e-04 
PNG306.4-00.6|Th 2-A       |N^2+        |N II      |5931.78 |1   |1.82920e-03 |-3.07493e-04|3.59601e-04 
PNG306.4-00.6|Th 2-A       |N^3+        |N III     |4640.64 |1   |1.03074e-04 |-1.63997e-05|1.30032e-05 
PNG306.4-00.6|Th 2-A       |O^2+        |O II      |4924.53 |1   |7.78051e-03 |-8.19344e-04|9.36975e-04 
PNG285.4+01.5|Pe 1-1       |He^+        |He I      |4471.50 |5   |1.16443e-01 |-4.97907e-03|4.69989e-03 
PNG285.4+01.5|Pe 1-1       |He^+        |He I      |5875.66 |16  |1.06207e-01 |-5.36673e-04|5.94413e-04 
PNG285.4+01.5|Pe 1-1       |He^+        |He I      |6678.16 |5   |7.99090e-02 |-9.29980e-04|9.30039e-04 
PNG285.4+01.5|Pe 1-1       |He^+        |He I      |7281.35 |1   |8.95600e-02 |-5.01563e-04|4.97660e-04 
PNG285.4+01.5|Pe 1-1       |C^2+        |C II      |6151.43 |1   |1.71819e-03 |-3.87763e-05|3.91382e-05 
PNG285.4+01.5|Pe 1-1       |C^2+        |C II      |6461.95 |2   |1.75536e-03 |-1.48291e-04|1.34289e-04 
PNG285.4+01.5|Pe 1-1       |C^3+        |C III     |4647.42 |1   |3.73078e-04 |-1.06790e-04|9.19443e-05 
PNG285.4+01.5|Pe 1-1       |N^2+        |N II      |4432.73 |2   |3.32619e-03 |-8.20181e-04|1.10402e-03 
PNG285.4+01.5|Pe 1-1       |N^2+        |N II      |4788.13 |1   |3.57139e-03 |-9.16950e-04|8.43785e-04 
PNG285.4+01.5|Pe 1-1       |N^2+        |N II      |5931.78 |1   |9.28414e-04 |-1.17846e-04|1.08036e-04 
PNG285.4+01.5|Pe 1-1       |N^2+        |N II      |5941.65 |3   |5.92210e-04 |-9.52742e-05|9.54866e-05 
PNG285.4+01.5|Pe 1-1       |O^2+        |O II      |4661.63 |1   |2.05314e-03 |-4.02323e-04|3.03933e-04 
PNG011.9+04.2|M 1-32       |He^+        |He I      |4471.50 |1   |1.05376e-01 |-1.53225e-03|1.71555e-03 
PNG011.9+04.2|M 1-32       |He^+        |He I      |5875.66 |4   |1.35296e-01 |-1.84122e-03|2.23946e-03 
PNG011.9+04.2|M 1-32       |He^+        |He I      |6678.16 |1   |1.30104e-01 |-3.53645e-03|4.27039e-03 
PNG011.9+04.2|M 1-32       |C^2+        |C II      |6151.43 |1   |1.89903e-03 |-2.27514e-04|2.63936e-04 
PNG011.9+04.2|M 1-32       |C^2+        |C II      |6461.95 |3   |1.90107e-03 |-1.87588e-04|2.13745e-04 
PNG011.9+04.2|M 1-32       |N^2+        |N II      |4552.53 |1   |4.06326e-03 |-7.63457e-04|8.01444e-04 
PNG011.9+04.2|M 1-32       |N^2+        |N II      |4601.48 |2   |2.45778e-03 |-3.89524e-04|4.19878e-04 
PNG011.9+04.2|M 1-32       |N^2+        |N II      |4788.13 |1   |2.82312e-03 |-5.96800e-04|6.76615e-04 
PNG011.9+04.2|M 1-32       |N^2+        |N II      |5686.21 |1   |6.37682e-04 |-8.63444e-05|1.15356e-04 
PNG011.9+04.2|M 1-32       |N^2+        |N II      |5710.77 |2   |1.68239e-03 |-1.98949e-04|2.21767e-04 
PNG011.9+04.2|M 1-32       |O^2+        |O II      |4890.86 |1   |6.05840e-03 |-1.62472e-03|1.71827e-03 
PNG006.8+04.1|M 3-15       |He^+        |He I      |4471.50 |1   |1.20135e-01 |-1.25516e-02|1.48937e-02 
PNG006.8+04.1|M 3-15       |He^+        |He I      |5875.66 |4   |1.13153e-01 |-8.69252e-04|9.45212e-04 
PNG006.8+04.1|M 3-15       |He^+        |He I      |6678.16 |1   |9.12399e-02 |-1.25126e-03|1.31690e-03 
PNG006.8+04.1|M 3-15       |C^2+        |C II      |6151.43 |1   |1.35166e-03 |-2.77775e-04|2.73145e-04 
PNG006.8+04.1|M 3-15       |C^3+        |C III     |4651.47 |1   |4.38358e-03 |-1.18184e-03|1.26258e-03 
PNG006.8+04.1|M 3-15       |N^2+        |N II      |4643.09 |1   |3.64516e-03 |-1.22532e-03|1.21245e-03 
PNG006.8+04.1|M 3-15       |N^2+        |N II      |4803.29 |1   |1.59900e-03 |-2.01300e-04|2.29990e-04 
PNG006.8+04.1|M 3-15       |N^2+        |N II      |5710.77 |1   |2.23426e-03 |-4.45189e-04|4.50724e-04 
PNG004.9+04.9|M 1-25       |He^+        |He I      |4471.50 |7   |1.01991e-01 |-1.45151e-03|1.57009e-03 
PNG004.9+04.9|M 1-25       |He^+        |He I      |5875.66 |20  |1.34454e-01 |-4.03495e-04|3.49534e-04 
PNG004.9+04.9|M 1-25       |He^+        |He I      |6678.16 |6   |8.60475e-02 |-9.82817e-04|9.71140e-04 
PNG004.9+04.9|M 1-25       |He^+        |He I      |7281.35 |1   |9.86212e-02 |-4.49535e-04|3.14676e-04 
PNG004.9+04.9|M 1-25       |C^2+        |C II      |6461.95 |1   |8.05545e-04 |-8.90935e-05|9.93690e-05 
PNG004.9+04.9|M 1-25       |C^3+        |C III     |4647.42 |1   |4.45224e-04 |-1.18633e-04|1.12338e-04 
PNG004.9+04.9|M 1-25       |N^2+        |N II      |4630.54 |3   |2.02328e-03 |-3.05147e-04|2.96756e-04 
PNG004.9+04.9|M 1-25       |N^2+        |N II      |5710.77 |1   |2.98716e-03 |-3.80379e-04|3.73968e-04 
PNG004.9+04.9|M 1-25       |O^2+        |O II      |4638.85 |1   |4.16669e-03 |-5.46297e-04|6.04841e-04 
PNG327.1-02.2|Hen 2-142    |He^+        |He I      |4471.50 |1   |2.03554e-02 |-2.49191e-03|2.44577e-03 
PNG327.1-02.2|Hen 2-142    |He^+        |He I      |6678.16 |1   |2.37820e-02 |-1.76781e-03|1.88244e-03 
PNG010.8-01.8|NGC 6578     |He^+        |He I      |4471.50 |9   |1.12886e-01 |-1.75078e-03|1.99607e-03 
PNG010.8-01.8|NGC 6578     |He^+        |He I      |5875.66 |25  |1.19942e-01 |-6.31632e-04|6.10373e-04 
PNG010.8-01.8|NGC 6578     |He^+        |He I      |6678.16 |7   |1.18112e-01 |-1.49206e-03|1.60508e-03 
PNG010.8-01.8|NGC 6578     |He^+        |He I      |7281.35 |1   |1.19631e-01 |-9.59156e-04|9.93160e-04 
PNG010.8-01.8|NGC 6578     |He^2+       |He II     |4685.68 |1   |3.83136e-04 |-1.73635e-05|1.79412e-05 
PNG010.8-01.8|NGC 6578     |C^2+        |C II      |6151.43 |1   |6.92105e-04 |-1.89660e-04|2.00168e-04 
PNG010.8-01.8|NGC 6578     |C^2+        |C II      |6461.95 |3   |1.04095e-03 |-5.34378e-05|6.02039e-05 
PNG010.8-01.8|NGC 6578     |C^3+        |C III     |4647.42 |1   |1.17657e-03 |-9.54658e-05|9.26685e-05 
PNG010.8-01.8|NGC 6578     |N^2+        |N II      |4432.73 |2   |1.34181e-03 |-4.74231e-04|4.77311e-04 
PNG010.8-01.8|NGC 6578     |N^2+        |N II      |4788.13 |1   |1.12426e-03 |-3.38450e-04|3.64243e-04 
PNG010.8-01.8|NGC 6578     |N^2+        |N II      |5676.02 |2   |4.90345e-04 |-1.21464e-04|1.13576e-04 
PNG010.8-01.8|NGC 6578     |N^2+        |N II      |5686.21 |1   |1.21575e-03 |-1.75704e-04|2.02794e-04 
PNG010.8-01.8|NGC 6578     |N^2+        |N II      |5927.81 |1   |7.22715e-04 |-1.94270e-04|2.25448e-04 
PNG010.8-01.8|NGC 6578     |N^2+        |N II      |5941.65 |4   |1.78493e-04 |-2.24702e-05|2.36170e-05 
PNG010.8-01.8|NGC 6578     |N^3+        |N III     |4640.64 |1   |1.27671e-04 |-1.98135e-05|1.98221e-05 
PNG010.8-01.8|NGC 6578     |O^2+        |O II      |4477.90 |1   |7.67583e-03 |-1.80353e-03|1.53368e-03 
PNG010.8-01.8|NGC 6578     |O^2+        |O II      |4491.23 |2   |4.01101e-03 |-1.66432e-03|2.15588e-03 
PNG010.8-01.8|NGC 6578     |O^2+        |O II      |4602.13 |2   |1.81118e-03 |-8.25068e-04|9.78795e-04 
PNG010.8-01.8|NGC 6578     |O^2+        |O II      |4661.63 |12  |2.79758e-03 |-2.22193e-04|2.30853e-04 
PNG010.8-01.8|NGC 6578     |O^2+        |O II      |4890.86 |1   |9.22723e-03 |-1.37980e-03|1.54636e-03 
PNG008.2-04.8|M 2-42       |He^+        |He I      |4471.50 |4   |1.11829e-01 |-1.09155e-03|1.07972e-03 
PNG008.2-04.8|M 2-42       |He^+        |He I      |4921.93 |1   |1.22236e-02 |-8.00634e-04|8.51978e-04 
PNG008.2-04.8|M 2-42       |He^+        |He I      |5875.66 |11  |1.00770e-01 |-1.31947e-03|1.47379e-03 
PNG008.2-04.8|M 2-42       |He^2+       |He II     |4685.68 |1   |2.73031e-04 |-5.87843e-06|5.33921e-06 
PNG008.2-04.8|M 2-42       |C^2+        |C II      |6151.43 |1   |3.16973e-04 |-3.21830e-05|2.85201e-05 
PNG008.2-04.8|M 2-42       |C^2+        |C II      |6461.95 |2   |5.35694e-04 |-2.00780e-05|2.40380e-05 
PNG008.2-04.8|M 2-42       |C^3+        |C III     |4651.47 |1   |3.20230e-03 |-1.24620e-04|1.27239e-04 
PNG008.2-04.8|M 2-42       |N^2+        |N II      |4607.16 |1   |7.18039e-04 |-1.08011e-04|1.01372e-04 
PNG008.2-04.8|M 2-42       |N^2+        |N II      |4788.13 |1   |6.48476e-03 |-2.57461e-04|2.11290e-04 
PNG008.2-04.8|M 2-42       |N^2+        |N II      |5710.77 |1   |1.32825e-04 |-2.88533e-05|3.26145e-05 
PNG008.2-04.8|M 2-42       |N^3+        |N III     |4640.64 |1   |1.71445e-04 |-6.80333e-06|7.17257e-06 
PNG008.2-04.8|M 2-42       |O^2+        |O II      |4477.90 |1   |1.93228e-03 |-6.47705e-04|5.19588e-04 
PNG008.2-04.8|M 2-42       |O^2+        |O II      |4491.23 |2   |2.33254e-03 |-1.34908e-03|9.83116e-04 
PNG008.2-04.8|M 2-42       |O^2+        |O II      |4602.13 |1   |7.95080e-04 |-3.59821e-04|3.27890e-04 
PNG008.2-04.8|M 2-42       |O^2+        |O II      |4609.44 |2   |1.65786e-03 |-1.25868e-04|1.29963e-04 
PNG008.2-04.8|M 2-42       |O^2+        |O II      |4661.63 |10  |5.89169e-04 |-6.12719e-05|5.80092e-05 
PNG008.2-04.8|M 2-42       |O^2+        |O II      |4673.73 |2   |3.37247e-03 |-5.67463e-04|4.49675e-04 
PNG011.7-00.6|NGC 6567     |He^+        |He I      |4471.50 |21  |9.27663e-02 |-8.24236e-04|8.20725e-04 
PNG011.7-00.6|NGC 6567     |He^+        |He I      |5047.74 |1   |7.08051e-02 |-3.46432e-03|2.39532e-03 
PNG011.7-00.6|NGC 6567     |He^+        |He I      |5875.66 |65  |9.92647e-02 |-4.38611e-04|3.14708e-04 
PNG011.7-00.6|NGC 6567     |He^+        |He I      |6678.16 |18  |6.38826e-02 |-7.33162e-04|7.62557e-04 
PNG011.7-00.6|NGC 6567     |He^2+       |He II     |4685.68 |1   |5.42232e-04 |-1.94167e-05|2.09431e-05 
PNG011.7-00.6|NGC 6567     |C^2+        |C II      |6151.43 |1   |7.55495e-04 |-7.14064e-05|6.49605e-05 
