-------------|-------------|-----|----------|----------------------------------------|----------|----------|----------
PNG          |Name         |Type |Ion       |Diagnostic                              |Value     |Value_Em  |Value_Ep  
-------------|-------------|-----|----------|----------------------------------------|----------|----------|----------
PNG006.8+04.1|M 3-15       |Ne   |[S II]    |(6730.82)/(6716.44)                     |6010      |-800      |1200      
PNG006.8+04.1|M 3-15       |Ne   |[O II]    |(3728.82)/(3726.03)                     |12270     |-970      |1490      
PNG006.8+04.1|M 3-15       |Ne   |[Ar IV]   |(4740.17)/(4711.37)                     |5540      |-3610     |6470      
PNG004.9+04.9|M 1-25       |Te   |[N II]    |(6548.10+6583.50)/(5754.60)             |7880      |-70       |70        
PNG004.9+04.9|M 1-25       |Te_rc|[N II]    |(6548.10+6583.50)/(5754.60)             |6950      |-90       |80        
PNG004.9+04.9|M 1-25       |Te   |[O III]   |(4958.91+5006.84)/(4363.21)             |8040      |-10       |10        
PNG004.9+04.9|M 1-25       |Te   |[Ar III]  |(7135.80+7751.43)/(5191.82)             |7710      |-1060     |890       
PNG004.9+04.9|M 1-25       |Ne   |[S II]    |(6730.82)/(6716.44)                     |6120      |-370      |490       
PNG004.9+04.9|M 1-25       |Ne   |[Cl III]  |(5537.60)/(5517.66)                     |4090      |-2140     |2440      
PNG327.1-02.2|Hen 2-142    |Te   |[N II]    |(6548.10+6583.50)/(5754.60)             |8810      |-350      |420       
PNG327.1-02.2|Hen 2-142    |Ne   |[S II]    |(6730.82)/(6716.44)                     |20630     |-13450    |79370     
PNG327.1-02.2|Hen 2-142    |Ne   |[Cl III]  |(5537.60)/(5517.66)                     |21160     |-8360     |14140     
PNG332.9-09.9|Hen 3-1333   |Te   |[N II]    |(6548.10+6583.50)/(5754.60)             |7290      |-120      |110         
PNG332.9-09.9|Hen 3-1333   |Ne   |[S II]    |(6730.82)/(6716.44)                     |100000    |-0        |0         
PNG321.0+03.9|Hen 2-113    |Te   |[N II]    |(6548.10+6583.50)/(5754.60)             |8220      |-110      |140          
PNG321.0+03.9|Hen 2-113    |Ne   |[S II]    |(6730.82)/(6716.44)                     |100000    |-410      |0               
PNG352.9+11.4|K 2-16       |Te   |[N II]    |(6548.10+6583.50)/(5754.60)             |9420      |-580      |610       
PNG352.9+11.4|K 2-16       |Ne   |[O II]    |(3728.82)/(3726.03)                     |110       |-40       |60        
PNG010.8-01.8|NGC 6578     |Te   |[N II]    |(6548.10+6583.50)/(5754.60)             |8080      |-630      |530       
PNG010.8-01.8|NGC 6578     |Te   |[O III]   |(4958.91+5006.84)/(4363.21)             |8230      |-20       |20        
PNG010.8-01.8|NGC 6578     |Te_rc|[O III]   |(4958.91+5006.84)/(4363.21)             |8220      |-20       |20        
PNG010.8-01.8|NGC 6578     |Te   |[S III]   |(9068.60)/(6312.10)                     |8280      |-90       |90        
PNG010.8-01.8|NGC 6578     |Ne   |[S II]    |(6730.82)/(6716.44)                     |4200      |-430      |640       
PNG010.8-01.8|NGC 6578     |Ne   |[Ar IV]   |(4740.17)/(4711.37)                     |3250      |-1130     |1050      
PNG010.8-01.8|NGC 6578     |Ne   |[Cl III]  |(5537.60)/(5517.66)                     |3390      |-1400     |2010      
PNG008.2-04.8|M 2-42       |Te   |[N II]    |(6548.10+6583.50)/(5754.60)             |10010     |-130      |170       
PNG008.2-04.8|M 2-42       |Te   |[S II]    |(6716.44+6730.82)/(4068.60+4076.35)     |17930     |-1610     |1630      
PNG008.2-04.8|M 2-42       |Te   |[O III]   |(4958.91+5006.84)/(4363.21)             |8800      |-40       |50           
PNG008.2-04.8|M 2-42       |Te   |[Ar III]  |(7135.80+7751.43)/(5191.82)             |8340      |-600      |480       
PNG008.2-04.8|M 2-42       |Ne   |[S II]    |(6730.82)/(6716.44)                     |3050      |-460      |470       
PNG008.2-04.8|M 2-42       |Ne   |[Ar IV]   |(4740.17)/(4711.37)                     |3430      |-550      |590       
PNG008.2-04.8|M 2-42       |Ne   |[Cl III]  |(5537.60)/(5517.66)                     |2420      |-240      |330       
PNG011.7-00.6|NGC 6567     |Te   |[O I]     |(6300.34+6363.78)/(5577.34)             |11000     |-3750     |6750      
PNG011.7-00.6|NGC 6567     |Te   |[N II]    |(6548.10+6583.50)/(5754.60)             |10860     |-190      |210       
PNG011.7-00.6|NGC 6567     |Te   |[O III]   |(4958.91+5006.84)/(4363.21)             |11480     |-40       |40        
PNG011.7-00.6|NGC 6567     |Te_rc|[O III]   |(4958.91+5006.84)/(4363.21)             |11470     |-40       |40        
PNG011.7-00.6|NGC 6567     |Te   |[Ar III]  |(7135.80+7751.43)/(5191.82)             |11110     |-1260     |1200      
PNG011.7-00.6|NGC 6567     |Ne   |[S II]    |(6730.82)/(6716.44)                     |6340      |-880      |910       
PNG011.7-00.6|NGC 6567     |Ne   |[Ar IV]   |(4740.17)/(4711.37)                     |2440      |-1630     |2360      
PNG011.7-00.6|NGC 6567     |Ne   |[Cl III]  |(5537.60)/(5517.66)                     |5340      |-970      |1250      
PNG009.4-05.0|NGC 6629     |Te   |[N II]    |(6548.10+6583.50)/(5754.60)             |8380      |-480      |470       
PNG009.4-05.0|NGC 6629     |Te   |[O III]   |(4958.91+5006.84)/(4363.21)             |8840      |-20       |20        
PNG009.4-05.0|NGC 6629     |Te   |[S III]   |(9068.60)/(6312.10)                     |9960      |-160      |160       
PNG009.4-05.0|NGC 6629     |Ne   |[S II]    |(6730.82)/(6716.44)                     |2810      |-340      |390          
PNG009.4-05.0|NGC 6629     |Ne   |[Cl III]  |(5537.60)/(5517.66)                     |2100      |-780      |850       
PNG358.0-04.6|Sa 3-107     |Te   |[N II]    |(6548.10+6583.50)/(5754.60)             |10840     |-500      |500       
PNG358.0-04.6|Sa 3-107     |Ne   |[S II]    |(6730.82)/(6716.44)                     |2480      |-420      |570       
PNG358.0-04.6|Sa 3-107     |Ne   |[Cl III]  |(5537.60)/(5517.66)                     |1400      |-1260     |1460      
