-------------|-------------|------------|-------|--------|------------|------------|------------
PNG          |Name         |Ion         |Type   |icf_Ref |Abund       |Abund_Em    |Abund_Ep    
-------------|-------------|------------|-------|--------|------------|------------|------------
PNG278.8+04.9|PB 6         |Fe^2+/H     |CEL    |        |1.63763e-07 |-1.38330e-08|1.41377e-08 
PNG278.8+04.9|PB 6         |icf(Fe)     |CEL    |ITL94   |1.08263e+01 |-4.97031e-01|5.65817e-01 
PNG278.8+04.9|PB 6         |Fe/H        |CEL    |ITL94   |1.77295e-06 |-1.81955e-07|2.12426e-07 
PNG278.8+04.9|PB 6         |adf(N^2+)   |ORL/CEL|        |2.67822e+01 |-2.40216e+00|2.40596e+00 
PNG278.8+04.9|PB 6         |adf(N)      |ORL/CEL|KB94    |1.12924e+01 |-1.34522e+00|1.12317e+00 
PNG278.8+04.9|PB 6         |adf(N)      |ORL/CEL|DMS14   |1.29971e+01 |-1.29971e+01|4.86966e+01 
PNG278.8+04.9|PB 6         |adf(O^2+)   |ORL/CEL|        |4.29467e+00 |-1.24496e+00|1.09709e+00 
PNG278.8+04.9|PB 6         |adf(O)      |ORL/CEL|KB94    |4.29467e+00 |-1.46965e+00|1.45192e+00 
PNG278.8+04.9|PB 6         |adf(O)      |ORL/CEL|DMS14   |3.92285e+00 |-2.14079e+00|3.11725e+00 
PNG017.9-04.8|M 3-30       |He^+/H      |ORL    |        |8.49177e-02 |-4.32309e-04|6.07546e-04 
PNG017.9-04.8|M 3-30       |He^2+/H     |ORL    |        |6.52750e-02 |-1.44392e-04|1.24299e-04 
PNG017.9-04.8|M 3-30       |He/H        |ORL    |        |1.50193e-01 |-5.56229e-04|7.22216e-04 
PNG017.9-04.8|M 3-30       |C^2+/H      |ORL    |        |1.68116e-03 |-1.10144e-04|1.05001e-04 
PNG017.9-04.8|M 3-30       |icf(C)      |ORL    |WL07    |1.57198e+00 |-3.39069e-02|3.25338e-02 
PNG017.9-04.8|M 3-30       |C/H         |ORL    |WL07    |2.64276e-03 |-2.12661e-04|1.77936e-04 
PNG017.9-04.8|M 3-30       |icf(C)      |ORL    |DMS14   |2.40330e+00 |-1.17585e+00|1.28305e+00 
PNG017.9-04.8|M 3-30       |C/H         |ORL    |DMS14   |4.04033e-03 |-2.28919e-03|2.32745e-03 
PNG017.9-04.8|M 3-30       |N^2+/H      |ORL    |        |2.85383e-03 |-2.14980e-04|2.40903e-04 
PNG017.9-04.8|M 3-30       |icf(N)      |ORL    |WL07    |1.57198e+00 |-3.36461e-02|3.02993e-02 
PNG017.9-04.8|M 3-30       |N/H         |ORL    |WL07    |4.48617e-03 |-4.34089e-04|4.22631e-04 
PNG017.9-04.8|M 3-30       |O^2+/H      |ORL    |        |3.91630e-03 |-3.23814e-04|3.56887e-04 
PNG017.9-04.8|M 3-30       |icf(O)      |ORL    |WL07    |1.57198e+00 |-9.98345e-03|8.96819e-03 
PNG017.9-04.8|M 3-30       |O/H         |ORL    |WL07    |6.15635e-03 |-6.13036e-04|6.60573e-04 
PNG017.9-04.8|M 3-30       |N^+/H       |CEL    |        |9.51962e-06 |-1.22943e-07|1.55630e-07 
